seq_name,ID,taxonomicidentification,similarity
1A_Rock_shrimp_tempura,BGSF060-15,Penaeus vannamei,1
1B_Calamari,GBCPH1845-14,Uroteuthis edulis,1
2B_Gulf_shrimp,GBCM7312-17,Farfantepenaeus aztecus,1
Litopenaeus_vannamei_KJ679914,BGSF059-15,Penaeus vannamei,1
Litopenaeus_vannamei_KJ679916,BGSF059-15,Penaeus vannamei,1
Penaeus_aztecus_BOLD_BIM485_16,SERCI516-14,Farfantepenaeus aztecus,1
Farfantepenaeus_aztecus_KU905861,SERCI516-14,Farfantepenaeus aztecus,1
Farfantepenaeus_aztecus_KU905754,SERCI516-14,Farfantepenaeus aztecus,1
Farfantepenaeus_aztecus_KT959403,SERCI110-12,Farfantepenaeus aztecus,1
Farfantepenaeus_subtilis_KF989462,GBCMA9711-15,Farfantepenaeus subtilis,1
Farfantepenaeus_brasiliensis_KF783862,PENAE002-20,Farfantepenaeus brasiliensis,1
Farfantepenaeus_brasiliensis_KF989392,GBCMA9781-15,Farfantepenaeus brasiliensis,1
Farfantepenaeus_brasiliensis_KF989412,GBCMA9761-15,Farfantepenaeus brasiliensis,1
Farfantepenaeus_paulensis_KF783861,PENAE022-20,Farfantepenaeus paulensis,1
Farfantepenaeus_paulensis_KF989461,GBCMA9712-15,Farfantepenaeus paulensis,1
Farfantepenaeus_paulensis_KF989460,PENAE023-20,Farfantepenaeus paulensis,1
Farfantepenaeus_paulensis_KF989445,PENAE023-20,Farfantepenaeus paulensis,1
Fenneropenaeus_indicus_KF604889,ISSL007-14,Fenneropenaeus indicus,0.9807
Fenneropenaeus_penicillatus_AY789233,GBMNC67929-20,Penaeus silasi,0.9888
Solenocera_membranacea_JQ305940,FCDOP021-07,Solenocera membranacea,1
Hymenopenaeus_debilis_JQ306143,JSDPX038-08,Hymenopenaeus debilis,1
Sicyonia_lancifer_BOLD_PCMUZ006_16,PCMUZ006-16,Sicyonia lancifer,1
Sicyonia_carinata_KJ841707,MIWAD465-13,Sicyonia carinata,0.9933
Sicyonia_carinata_KJ841706,MIWAD465-13,Sicyonia carinata,0.9967
Neosarmatium_fourmanoiri_FN392164,GBCMD19370-19,Neosarmatium fourmanoiri,1
Dasysyrphus_creper_JX828094,SONT144-10,Dasysyrphus creper,1
Aristeus_alcocki_KJ396317,GBCMA7211-14,Aristeus alcocki,1
Bentheogennema_borealis_DQ882034,FCDPA051-04,Bentheogennema borealis,1
Uroteuthis_edulis_KF413877,GBCPH1845-14,Uroteuthis edulis,1
Uroteuthis_edulis_KF413879,GBCPH1845-14,Uroteuthis edulis,1
Uroteuthis_edulis_KC951885,GBCPH1674-14,Uroteuthis edulis,1
Loligo_formosana_AY557524,GBMNC25185-20,Uroteuthis chinensis,1
Uroteuthis_chinensis_KC959453,QWEAS139-15,Uroteuthis chinensis,1
Uroteuthis_chinensis_HQ529528,QWEAS139-15,Uroteuthis chinensis,1
Uroteuthis_sp_KC959469,GBMNC28600-20,Uroteuthis sp. 2 JATM-2019,0.9983
Loliolus_japonica_HQ529517,QWEAS125-15,Loliolus japonicus,1
Loliolus_beka_BOLD_AB675090,QWEAS125-15,Loliolus japonicus,1
Loliolus_japonica_HQ529522,QWEAS130-15,Loliolus japonicus,1
Uroteuthis_duvauceli_KC959448,GBCPH1312-13,Uroteuthis duvaucelii,1
Uroteuthis_duvauceli_KC959441,GBCPH1319-13,Uroteuthis duvaucelii,1
Alloteuthis_subulata_EU668098,CEPAR028-11,Alloteuthis subulata,1
Alloteuthis_media_EU668085,CCWW013-11,Alloteuthis media,1
Litopenaeus_setiferus_KT959420,SERCI177-12,Litopenaeus setiferus,1
Litopenaeus_setiferus_KT959392,SERCI144-12,Litopenaeus setiferus,1
Litopenaeus_stylirostris_EU517503,GBMTG1503-16,Litopenaeus stylirostris,1
Farfantepenaeus_californiensis_EU497054,GBMTG1634-16,Farfantepenaeus californiensis,1
Penaeus_semisulcatus_LC155215,GBCM10626-17,Penaeus semisulcatus,1
Litopenaeus_vannamei_KP976242,BGSF060-15,Penaeus vannamei,1
