seq_name,ID,taxonomicidentification,similarity
1A_Rock_shrimp_tempura,BGSF060-15,Penaeus vannamei,1
1A_Rock_shrimp_tempura,PENAE066-20,Litopenaeus vannamei,0.9983
1B_Calamari,GBCPH1845-14,Uroteuthis edulis,1
2B_Gulf_shrimp,GBCM7312-17,Farfantepenaeus aztecus,1
2B_Gulf_shrimp,BIM485-16,Penaeus aztecus,0.9985
2B_Gulf_shrimp,GBCMD31201-19,Penaeus isabelae,0.9225
2B_Gulf_shrimp,GBCMD31266-19,Penaeus subtilis complex sp. morphotype I,0.9204
2B_Gulf_shrimp,GBMND16804-21,Penaeus paulensis,0.9155
2B_Gulf_shrimp,GBCMA9781-15,Farfantepenaeus brasiliensis,0.9127
2B_Gulf_shrimp,GBCMD31268-19,Penaeus subtilis complex sp. morphotype II,0.9122
2B_Gulf_shrimp,GBCMA9711-15,Farfantepenaeus subtilis,0.9109
2B_Gulf_shrimp,GBCMD31256-19,Penaeus subtilis,0.9101
2B_Gulf_shrimp,GBCMA9656-15,Farfantepenaeus paulensis,0.9097
Litopenaeus_vannamei_KJ679914,BGSF059-15,Penaeus vannamei,1
Litopenaeus_vannamei_KJ679914,PENAE066-20,Litopenaeus vannamei,0.9933
Litopenaeus_vannamei_KJ679916,BGSF059-15,Penaeus vannamei,1
Litopenaeus_vannamei_KJ679916,PENAE066-20,Litopenaeus vannamei,0.9932
Penaeus_aztecus_BOLD_BIM485_16,SERCI516-14,Farfantepenaeus aztecus,1
Penaeus_aztecus_BOLD_BIM485_16,BIM485-16,Penaeus aztecus,1
Penaeus_aztecus_BOLD_BIM485_16,GBCMD31201-19,Penaeus isabelae,0.9221
Penaeus_aztecus_BOLD_BIM485_16,GBCMD31266-19,Penaeus subtilis complex sp. morphotype I,0.9199
Penaeus_aztecus_BOLD_BIM485_16,GBMND16804-21,Penaeus paulensis,0.9128
Penaeus_aztecus_BOLD_BIM485_16,GBCMD31268-19,Penaeus subtilis complex sp. morphotype II,0.9117
Penaeus_aztecus_BOLD_BIM485_16,GBCMA9781-15,Farfantepenaeus brasiliensis,0.9104
Penaeus_aztecus_BOLD_BIM485_16,GBCMA9711-15,Farfantepenaeus subtilis,0.9104
Penaeus_aztecus_BOLD_BIM485_16,GBCMD31256-19,Penaeus subtilis,0.9097
Penaeus_aztecus_BOLD_BIM485_16,GBCMA9656-15,Farfantepenaeus paulensis,0.9077
Farfantepenaeus_aztecus_KU905861,SERCI516-14,Farfantepenaeus aztecus,1
Farfantepenaeus_aztecus_KU905861,BIM485-16,Penaeus aztecus,1
Farfantepenaeus_aztecus_KU905861,GBCMD31201-19,Penaeus isabelae,0.9221
Farfantepenaeus_aztecus_KU905861,GBCMD31266-19,Penaeus subtilis complex sp. morphotype I,0.9199
Farfantepenaeus_aztecus_KU905861,GBMND16804-21,Penaeus paulensis,0.9143
Farfantepenaeus_aztecus_KU905861,GBCMD31268-19,Penaeus subtilis complex sp. morphotype II,0.9117
Farfantepenaeus_aztecus_KU905861,GBCMD31256-19,Penaeus subtilis,0.9097
Farfantepenaeus_aztecus_KU905861,GBCMA9781-15,Farfantepenaeus brasiliensis,0.9094
Farfantepenaeus_aztecus_KU905861,GBCMA9711-15,Farfantepenaeus subtilis,0.9094
Farfantepenaeus_aztecus_KU905861,GBCMA9656-15,Farfantepenaeus paulensis,0.9077
Farfantepenaeus_aztecus_KU905861,GBCMD31162-19,Penaeus brasiliensis,0.9065
Farfantepenaeus_aztecus_KU905754,SERCI516-14,Farfantepenaeus aztecus,1
Farfantepenaeus_aztecus_KU905754,BIM485-16,Penaeus aztecus,1
Farfantepenaeus_aztecus_KU905754,GBCMD31201-19,Penaeus isabelae,0.9221
Farfantepenaeus_aztecus_KU905754,GBCMD31266-19,Penaeus subtilis complex sp. morphotype I,0.9199
Farfantepenaeus_aztecus_KU905754,GBMND16804-21,Penaeus paulensis,0.9143
Farfantepenaeus_aztecus_KU905754,GBCMD31268-19,Penaeus subtilis complex sp. morphotype II,0.9117
Farfantepenaeus_aztecus_KU905754,GBCMD31256-19,Penaeus subtilis,0.9097
Farfantepenaeus_aztecus_KU905754,GBCMA9781-15,Farfantepenaeus brasiliensis,0.9094
Farfantepenaeus_aztecus_KU905754,GBCMA9711-15,Farfantepenaeus subtilis,0.9094
Farfantepenaeus_aztecus_KU905754,GBCMA9656-15,Farfantepenaeus paulensis,0.9077
Farfantepenaeus_aztecus_KU905754,GBCMD31162-19,Penaeus brasiliensis,0.9065
Farfantepenaeus_aztecus_KT959403,SERCI110-12,Farfantepenaeus aztecus,1
Farfantepenaeus_aztecus_KT959403,BIM485-16,Penaeus aztecus,0.9985
Farfantepenaeus_aztecus_KT959403,GBCMD31201-19,Penaeus isabelae,0.9206
Farfantepenaeus_aztecus_KT959403,GBCMD31266-19,Penaeus subtilis complex sp. morphotype I,0.9181
Farfantepenaeus_aztecus_KT959403,GBMND16804-21,Penaeus paulensis,0.9127
Farfantepenaeus_aztecus_KT959403,GBCMD31268-19,Penaeus subtilis complex sp. morphotype II,0.9099
Farfantepenaeus_aztecus_KT959403,GBCMD31256-19,Penaeus subtilis,0.9081
Farfantepenaeus_aztecus_KT959403,GBCMA9781-15,Farfantepenaeus brasiliensis,0.9076
Farfantepenaeus_aztecus_KT959403,GBCMA9711-15,Farfantepenaeus subtilis,0.9076
Farfantepenaeus_aztecus_KT959403,GBCMA9656-15,Farfantepenaeus paulensis,0.9061
Farfantepenaeus_aztecus_KT959403,GBCMD31162-19,Penaeus brasiliensis,0.905
Farfantepenaeus_subtilis_KF989462,GBCMA9711-15,Farfantepenaeus subtilis,1
Farfantepenaeus_subtilis_KF989462,GBCMD31268-19,Penaeus subtilis complex sp. morphotype II,0.9946
Farfantepenaeus_subtilis_KF989462,GBCMD31256-19,Penaeus subtilis,0.9945
Farfantepenaeus_subtilis_KF989462,GBCMD31266-19,Penaeus subtilis complex sp. morphotype I,0.9519
Farfantepenaeus_subtilis_KF989462,GBCMD31201-19,Penaeus isabelae,0.9508
Farfantepenaeus_subtilis_KF989462,GBCMA9718-15,Farfantepenaeus paulensis,0.918
Farfantepenaeus_subtilis_KF989462,GBMND16804-21,Penaeus paulensis,0.9149
Farfantepenaeus_subtilis_KF989462,CRM156-10,Farfantepenaeus aztecus,0.9086
Farfantepenaeus_brasiliensis_KF783862,PENAE002-20,Farfantepenaeus brasiliensis,1
Farfantepenaeus_brasiliensis_KF783862,GBCMD31162-19,Penaeus brasiliensis,1
Farfantepenaeus_brasiliensis_KF989392,GBCMA9781-15,Farfantepenaeus brasiliensis,1
Farfantepenaeus_brasiliensis_KF989392,GBCMD31149-19,Penaeus brasiliensis,0.9946
Farfantepenaeus_brasiliensis_KF989412,GBCMA9761-15,Farfantepenaeus brasiliensis,1
Farfantepenaeus_brasiliensis_KF989412,GBMND16795-21,Penaeus brasiliensis,0.9947
Farfantepenaeus_paulensis_KF783861,PENAE022-20,Farfantepenaeus paulensis,1
Farfantepenaeus_paulensis_KF783861,GBMND16802-21,Penaeus paulensis,0.9984
Farfantepenaeus_paulensis_KF783861,GBCMD31266-19,Penaeus subtilis complex sp. morphotype I,0.9292
Farfantepenaeus_paulensis_KF783861,GBCMD31192-19,Penaeus isabelae,0.9286
Farfantepenaeus_paulensis_KF783861,GBCMD31267-19,Penaeus subtilis complex sp. morphotype II,0.9176
Farfantepenaeus_paulensis_KF783861,GBCMD31260-19,Penaeus subtilis,0.9143
Farfantepenaeus_paulensis_KF783861,GBCM8165-17,Farfantepenaeus subtilis,0.9139
Farfantepenaeus_paulensis_KF783861,GBCM7312-17,Farfantepenaeus aztecus,0.9097
Farfantepenaeus_paulensis_KF989461,GBCMA9712-15,Farfantepenaeus paulensis,1
Farfantepenaeus_paulensis_KF989461,GBMND16802-21,Penaeus paulensis,0.9964
Farfantepenaeus_paulensis_KF989461,GBCMD31201-19,Penaeus isabelae,0.9286
Farfantepenaeus_paulensis_KF989461,GBCMD31266-19,Penaeus subtilis complex sp. morphotype I,0.9274
Farfantepenaeus_paulensis_KF989461,GBCMD31267-19,Penaeus subtilis complex sp. morphotype II,0.9189
